"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"AARON.DELL","2016-2017","S.J",9,518.65,228,14,93.86,91.37,2.49,98.98,96.47,77.78,5.67
"AARON.DELL","2017-2018","S.J",7,339.33,166,10,93.98,90.27,3.71,100,94.12,85.42,6.16
"ADIN.HILL","2017-2018","ARI",1,58.27,31,5,83.87,89,-5.13,85.71,100,70,-1.59
"ALEX.AULD","2007-2008","ARI/BOS",13,716.18,339,33,90.27,91.32,-1.05,97.12,93.44,73.08,-3.56
"ALEX.AULD","2008-2009","OTT",16,963.8,437,35,91.99,91.42,0.57,99.37,88.27,86.59,2.51
"ALEX.AULD","2009-2010","DAL",8,494.92,227,23,89.87,92.64,-2.77,99.02,86.73,66.67,-6.29
"ALEX.AULD","2010-2011","MTL",5,239.89,132,15,88.64,91.67,-3.03,96.55,93.75,61.54,-4
"ALEX.AULD","2011-2012","OTT",7,312.7,160,21,86.88,90.35,-3.47,91.53,95.31,64.86,-5.56
"ALEX.STALOCK","2010-2011","S.J",1,29.79,9,0,100,91,9,100,100,100,0.81
"ALEX.STALOCK","2012-2013","S.J",1,15.57,7,1,85.71,90.43,-4.71,100,100,50,-0.33
"ALEX.STALOCK","2013-2014","S.J",8,418.32,201,9,95.52,91.73,3.8,100,94.67,87.5,7.63
"ALEX.STALOCK","2014-2015","S.J",10,550.01,217,20,90.78,90.44,0.34,98.86,94.81,71.15,0.74
"ALEX.STALOCK","2015-2016","S.J",7,340.66,121,15,87.6,92.28,-4.68,96.15,86.36,72,-5.66
"ALEX.STALOCK","2016-2017","MIN",1,60,19,1,94.74,95.11,-0.37,90,100,NA,-0.07
"ALEX.STALOCK","2017-2018","MIN",6,340.72,149,10,93.29,91.11,2.18,97.3,95.45,80.65,3.25
"ALLEN.YORK","2011-2012","CBJ",6,201.19,88,5,94.32,91.27,3.05,100,95.12,81.25,2.68
"AL.MONTOYA","2008-2009","ARI",2,79.75,24,2,91.67,92.17,-0.5,100,100,66.67,-0.12
"AL.MONTOYA","2010-2011","NYI",13,765.83,359,25,93.04,89.93,3.1,98.98,94.83,82.76,11.14
"AL.MONTOYA","2011-2012","NYI",15,862.14,393,44,88.8,89.11,-0.31,98.25,90.13,78.74,-1.2
"AL.MONTOYA","2012-2013","WPG",3,136.06,52,9,82.69,90.96,-8.27,90,75,81.25,-4.3
"AL.MONTOYA","2013-2014","WPG",12,596.7,267,20,92.51,90.69,1.82,97.94,93.81,83.56,4.85
"AL.MONTOYA","2014-2015","FLA",9,422.92,195,20,89.74,91.89,-2.14,97.59,90.91,68.57,-4.18
"AL.MONTOYA","2015-2016","FLA",10,524.11,227,16,92.95,91.53,1.42,98.89,94.32,79.59,3.22
"AL.MONTOYA","2016-2017","MTL",5,278.69,130,5,96.15,91.07,5.08,100,96.08,90.62,6.61
"ANDERS.LINDBACK","2010-2011","NSH",9,401.15,194,13,93.3,92.22,1.08,97.14,95.65,78.12,2.1
"ANDERS.LINDBACK","2011-2012","NSH",5,217.91,75,9,88,91.89,-3.89,100,85.37,76.92,-2.92
"ANDERS.LINDBACK","2012-2013","T.B",13,779.24,378,34,91.01,92.97,-1.96,97.77,89.12,73.08,-7.41
"ANDERS.LINDBACK","2013-2014","T.B",10,555.93,249,25,89.96,92.37,-2.41,97.12,89.58,75.51,-6
"ANDERS.LINDBACK","2014-2015","DAL/BUF",12,665.48,365,33,90.96,92.49,-1.53,98.33,92.68,66.13,-5.58
"ANDERS.LINDBACK","2015-2016","ARI",10,423.83,179,23,87.15,92.37,-5.22,93.83,86.89,72.97,-9.35
"ANDERS.NILSSON","2011-2012","NYI",3,158.04,76,5,93.42,89.87,3.55,100,93.75,86.36,2.7
"ANDERS.NILSSON","2013-2014","NYI",9,507.63,251,26,89.64,88.99,0.65,98.18,94.07,76.92,1.64
"ANDERS.NILSSON","2015-2016","EDM/STL",12,634.05,327,31,90.52,91.42,-0.9,96.85,92.91,75.34,-2.93
"ANDERS.NILSSON","2016-2017","BUF",11,624.45,372,23,93.82,91.79,2.02,97.66,93.55,85.71,7.53
"ANDERS.NILSSON","2017-2018","VAN",6,301.13,175,24,86.29,90.55,-4.27,93.44,83.78,80,-7.47
"ANDREI.VASILEVSKIY","2014-2015","T.B",8,388.19,194,13,93.3,93.14,0.15,93.83,95.4,84.62,0.3
"ANDREI.VASILEVSKIY","2015-2016","T.B",8,483.48,251,23,90.84,92.51,-1.68,93.46,93.2,78.05,-4.21
"ANDREI.VASILEVSKIY","2016-2017","T.B",28,1591.47,822,73,91.12,92.76,-1.64,96.03,91.52,76.38,-13.52
"ANDREI.VASILEVSKIY","2017-2018","T.B",18,1042.25,507,38,92.5,92.31,0.2,97.58,94.14,74.36,1.01
"ANDREW.HAMMOND","2013-2014","OTT",1,34.51,11,0,100,95.64,4.36,100,100,NA,0.48
"ANDREW.HAMMOND","2014-2015","OTT",12,672.54,327,29,91.13,92.35,-1.21,97.39,91.74,75.38,-3.97
"ANDREW.HAMMOND","2015-2016","OTT",11,614.33,292,29,90.07,91.53,-1.47,96.77,89.81,76.67,-4.28
"ANDREW.HAMMOND","2016-2017","OTT",1,59.98,30,6,80,91.1,-11.1,100,72.73,50,-3.33
"ANDREW.RAYCROFT","2007-2008","TOR",9,475.67,254,32,87.4,89.5,-2.09,98.59,89.39,66.67,-5.32
"ANDREW.RAYCROFT","2008-2009","COL",16,872.62,405,47,88.4,91.51,-3.12,95.52,87.75,76.12,-12.63
"ANDREW.RAYCROFT","2009-2010","VAN",5,231.65,91,3,96.7,92.6,4.1,97.14,97.78,90.91,3.73
"ANDREW.RAYCROFT","2010-2011","DAL",5,223.31,111,2,98.2,93.28,4.92,100,97.87,92.31,5.46
"ANDREW.RAYCROFT","2011-2012","DAL",3,178.74,100,11,89,91.91,-2.91,97.96,89.29,69.57,-2.91
"ANTERO.NIITTYMAKI","2007-2008","PHI",12,549.05,242,33,86.36,90.83,-4.47,97.47,85.6,65.79,-10.82
"ANTERO.NIITTYMAKI","2008-2009","PHI",12,629.98,331,39,88.22,90.17,-1.95,97.2,88.97,74.68,-6.46
"ANTERO.NIITTYMAKI","2009-2010","T.B",27,1512.51,807,63,92.19,91.97,0.23,98.94,92.17,77.52,1.84
"ANTERO.NIITTYMAKI","2010-2011","S.J",12,725.77,325,31,90.46,90.66,-0.2,99.07,88.74,80.6,-0.65
"ANTHONY.STOLARZ","2016-2017","PHI",3,177.38,93,6,93.55,91.89,1.66,100,94.12,77.78,1.54
"ANTOINE.BIBEAU","2016-2017","TOR",1,57.02,28,2,92.86,91.89,0.96,100,100,75,0.27
"ANTON.FORSBERG","2014-2015","CBJ",3,136.5,74,11,85.14,90.11,-4.97,93.33,88.46,66.67,-3.68
"ANTON.FORSBERG","2015-2016","CBJ",2,62.64,37,2,94.59,91.73,2.86,100,94.12,85.71,1.06
"ANTON.FORSBERG","2017-2018","CHI",3,140.03,77,4,94.81,90.47,4.34,96.67,92.59,95,3.34
"ANTON.KHUDOBIN","2009-2010","MIN",2,69.45,48,1,97.92,93.33,4.58,100,100,80,2.2
"ANTON.KHUDOBIN","2010-2011","MIN",2,119.39,49,3,93.88,92.51,1.37,95.24,90,100,0.67
"ANTON.KHUDOBIN","2012-2013","BOS",5,305,161,9,94.41,93.17,1.24,98.67,96.77,75,1.99
"ANTON.KHUDOBIN","2013-2014","CAR",20,1142.65,552,41,92.57,91.56,1.01,98.71,96,75,5.59
"ANTON.KHUDOBIN","2014-2015","CAR",16,879.26,389,31,92.03,91.55,0.48,98.71,92.75,80.21,1.88
"ANTON.KHUDOBIN","2015-2016","ANA",4,143.53,77,10,87.01,89.18,-2.17,94.44,90.91,76.92,-1.67
"ANTON.KHUDOBIN","2016-2017","BOS",9,487.19,227,24,89.43,91.89,-2.46,98.92,88.42,69.23,-5.58
"ANTON.KHUDOBIN","2017-2018","BOS",5,301.55,149,16,89.26,89.84,-0.58,100,89.29,75,-0.86
"ANTTI.NIEMI","2008-2009","CHI",3,141.32,59,8,86.44,89.73,-3.29,100,86.11,70,-1.94
"ANTTI.NIEMI","2009-2010","CHI",18,1055.54,411,46,88.81,90.09,-1.28,94.64,90.55,78.57,-5.27
"ANTTI.NIEMI","2010-2011","S.J",29,1728.1,843,66,92.17,91.26,0.91,98.41,93.53,76.58,7.68
"ANTTI.NIEMI","2011-2012","S.J",35,1999.19,926,73,92.12,91.74,0.38,98.06,93.96,75.27,3.51
"ANTTI.NIEMI","2012-2013","S.J",23,1407.21,650,43,93.38,91.41,1.98,98.98,93.18,81.62,12.84
"ANTTI.NIEMI","2013-2014","S.J",35,2084.74,898,75,91.65,91.64,0.01,98.97,91.03,78.06,0.07
"ANTTI.NIEMI","2014-2015","S.J",32,1917.4,908,85,90.64,91.23,-0.59,98.93,90,75.9,-5.36
"ANTTI.NIEMI","2015-2016","DAL",25,1317.82,588,52,91.16,90.83,0.33,98.29,94.21,77.44,1.94
"ANTTI.NIEMI","2016-2017","DAL",22,1039.52,514,46,91.05,91.52,-0.47,98.73,90.62,76.27,-2.43
"ANTTI.NIEMI","2017-2018","MTL/FLA",4,107.18,69,8,88.41,90.72,-2.32,100,84,73.33,-1.6
"ANTTI.RAANTA","2013-2014","CHI",9,535.27,209,15,92.82,91.84,0.98,98.89,92.96,81.25,2.05
"ANTTI.RAANTA","2014-2015","CHI",10,555.85,291,14,95.19,92.34,2.85,98.46,91.49,94.03,8.3
"ANTTI.RAANTA","2015-2016","NYR",12,604.28,269,22,91.82,89.68,2.14,97.83,95.06,83.33,5.77
"ANTTI.RAANTA","2016-2017","NYR",13,684.06,305,30,90.16,90.49,-0.32,98.26,94.44,73.17,-0.99
"ANTTI.RAANTA","2017-2018","ARI",11,531.57,302,25,91.72,91.82,-0.1,98.53,90.2,79.69,-0.31
"BEN.BISHOP","2008-2009","STL",3,103.15,32,2,93.75,92.88,0.88,100,93.33,80,0.28
"BEN.BISHOP","2010-2011","STL",4,190.69,87,11,87.36,91.76,-4.4,97.22,81.58,76.92,-3.83
"BEN.BISHOP","2011-2012","OTT",7,391.59,180,15,91.67,91.75,-0.08,97.62,89.47,82.05,-0.15
"BEN.BISHOP","2012-2013","OTT/T.B",10,572.07,306,22,92.81,92.79,0.02,99.36,93,72,0.07
"BEN.BISHOP","2013-2014","T.B",32,1854.44,882,68,92.29,92.83,-0.54,97.91,90.27,81.4,-4.77
"BEN.BISHOP","2014-2015","T.B",34,1936.07,916,68,92.58,92.29,0.29,97.88,93.51,78.7,2.65
"BEN.BISHOP","2015-2016","T.B",33,1976.71,890,68,92.36,92.73,-0.37,98.31,91.59,77.08,-3.31
"BEN.BISHOP","2016-2017","T.B/L.A",18,1013.21,458,46,89.96,91.61,-1.65,97.37,90.06,75.26,-7.56
"BEN.BISHOP","2017-2018","DAL",20,1132.48,560,38,93.21,91.5,1.71,96.55,90.95,90.68,9.6
"BEN.SCRIVENS","2011-2012","TOR",6,306.93,147,17,88.44,92.32,-3.88,95.38,84.91,79.31,-5.71
"BEN.SCRIVENS","2012-2013","TOR",10,493.76,284,22,92.25,92.85,-0.6,96.35,93.88,77.55,-1.69
"BEN.SCRIVENS","2013-2014","L.A/EDM",19,1118.1,621,48,92.27,91.36,0.91,97.73,93.24,81.33,5.68
"BEN.SCRIVENS","2014-2015","EDM",33,1878.24,900,92,89.78,91.29,-1.51,96.24,91.44,75,-13.61
"BEN.SCRIVENS","2015-2016","MTL",6,326.24,160,11,93.12,92.59,0.54,100,93.1,75,0.86
"BRADEN.HOLTBY","2010-2011","WSH",6,319.04,151,7,95.36,92.88,2.48,97.3,94.34,91.67,3.75
"BRADEN.HOLTBY","2011-2012","WSH",4,175.58,95,10,89.47,90.86,-1.39,94.87,94.29,71.43,-1.32
"BRADEN.HOLTBY","2012-2013","WSH",19,1119.1,604,45,92.55,92.06,0.49,97.43,92.23,82.54,2.95
"BRADEN.HOLTBY","2013-2014","WSH",23,1249.81,721,59,91.82,92.26,-0.45,97.7,90.32,81.75,-3.23
"BRADEN.HOLTBY","2014-2015","WSH",36,2047.98,961,71,92.61,92.29,0.32,96.32,93.59,81.97,3.05
"BRADEN.HOLTBY","2015-2016","WSH",33,1896.88,878,68,92.26,91.96,0.29,98.63,91.9,80.63,2.57
"BRADEN.HOLTBY","2016-2017","WSH",37,2136.37,916,60,93.45,91.91,1.53,98.99,94.41,80.81,14.06
"BRADEN.HOLTBY","2017-2018","WSH",18,1088,570,38,93.33,91.52,1.81,99.61,92.27,81.97,10.34
"BRAD.THIESSEN","2011-2012","PIT",4,197.73,85,8,90.59,92.79,-2.2,100,91.18,68.75,-1.87
"BRENT.JOHNSON","2007-2008","WSH",7,395.38,179,13,92.74,90.99,1.75,100,96.81,69.7,3.13
"BRENT.JOHNSON","2008-2009","WSH",10,604.46,307,21,93.16,91.36,1.79,97.89,93.21,84,5.51
"BRENT.JOHNSON","2009-2010","PIT",12,616.79,312,30,90.38,92.35,-1.96,96.77,92.65,69.23,-6.12
"BRENT.JOHNSON","2010-2011","PIT",8,431.72,192,16,91.67,92.59,-0.92,100,86.81,85.71,-1.77
"BRENT.JOHNSON","2011-2012","PIT",4,171.88,56,9,83.93,91.45,-7.52,95.83,93.33,58.82,-4.21
"BRIAN.BOUCHER","2008-2009","S.J",6,366.34,165,16,90.3,89,1.3,93.75,94.67,78.57,2.15
"BRIAN.BOUCHER","2009-2010","PHI",15,804.69,364,33,90.93,91.31,-0.37,99.29,90.57,73.44,-1.36
"BRIAN.BOUCHER","2010-2011","PHI",14,751.51,346,24,93.06,91.3,1.76,98.41,93.96,81.69,6.09
"BRIAN.BOUCHER","2011-2012","CAR",5,245.54,115,11,90.43,90.3,0.13,100,89.13,80,0.15
"BRIAN.BOUCHER","2012-2013","PHI",2,51.12,17,2,88.24,92.65,-4.41,100,87.5,66.67,-0.75
"BRIAN.ELLIOTT","2008-2009","OTT",18,1049.98,468,44,90.6,92.28,-1.69,96.2,91.67,72.06,-7.89
"BRIAN.ELLIOTT","2009-2010","OTT",25,1380.59,627,52,91.71,91.3,0.4,96.97,92.68,77.98,2.53
"BRIAN.ELLIOTT","2010-2011","OTT/COL",29,1616.84,807,81,89.96,91.4,-1.44,99.31,89.5,73.38,-11.6
"BRIAN.ELLIOTT","2011-2012","STL",20,1195.64,491,31,93.69,91.97,1.72,97.47,95.94,81.25,8.44
"BRIAN.ELLIOTT","2012-2013","STL",12,683.49,261,29,88.89,91.64,-2.75,95.33,94,66.67,-7.19
"BRIAN.ELLIOTT","2013-2014","STL",13,725.34,305,25,91.8,92.09,-0.29,96.18,93.22,78.57,-0.88
"BRIAN.ELLIOTT","2014-2015","STL",24,1328.12,567,51,91.01,92.42,-1.41,98.36,90.41,75,-8.01
"BRIAN.ELLIOTT","2015-2016","STL",22,1130.25,572,44,92.31,91.07,1.24,99.05,91.91,81.75,7.07
"BRIAN.ELLIOTT","2016-2017","CGY",25,1414.97,680,53,92.21,91.11,1.09,98.92,94.19,77.78,7.43
"BRIAN.ELLIOTT","2017-2018","PHI",17,947.88,437,46,89.47,91.61,-2.14,96.79,90.68,71.91,-9.34
"CALVIN.HEETER","2013-2014","PHI",1,63.98,38,5,86.84,92.76,-5.92,88.89,84.62,85.71,-2.25
"CALVIN.PICKARD","2014-2015","COL",9,475.72,265,23,91.32,92.51,-1.18,97.67,89.66,77.55,-3.14
"CALVIN.PICKARD","2015-2016","COL",8,422.78,261,15,94.25,91.82,2.43,98.26,94.62,84.91,6.34
"CALVIN.PICKARD","2016-2017","COL",25,1471.01,737,68,90.77,92.94,-2.17,97.39,92.38,68.7,-15.98
"CAM.TALBOT","2013-2014","NYR",8,469.16,230,16,93.04,91.31,1.73,98.91,96.39,78.18,3.98
"CAM.TALBOT","2014-2015","NYR",17,956.09,470,31,93.4,90.96,2.45,97.16,95.27,85.6,11.5
"CAM.TALBOT","2015-2016","EDM",29,1622.19,819,70,91.45,90.86,0.6,96.96,93.59,80.57,4.88
"CAM.TALBOT","2016-2017","EDM",38,2223.92,1111,86,92.26,90.32,1.94,98.69,94.46,79.86,21.52
"CAM.TALBOT","2017-2018","EDM",18,1046.62,566,55,90.28,90.02,0.26,99.09,90,77.55,1.46
"CAM.WARD","2007-2008","CAR",39,2259.43,1015,106,89.56,90.44,-0.89,96.95,91.27,75.46,-9.01
"CAM.WARD","2008-2009","CAR",35,2006,902,76,91.57,91.11,0.47,98.4,90.8,80.61,4.23
"CAM.WARD","2009-2010","CAR",21,1211.89,603,50,91.71,90.75,0.95,98.97,94.46,75.91,5.75
"CAM.WARD","2010-2011","CAR",39,2286.93,1209,96,92.06,91.28,0.78,97.37,93.16,80.72,9.44
"CAM.WARD","2011-2012","CAR",34,1986.76,972,84,91.36,91.55,-0.19,97.83,92.8,76.19,-1.87
"CAM.WARD","2012-2013","CAR",6,359.31,170,18,89.41,90.69,-1.28,95.16,92.86,73.68,-2.17
"CAM.WARD","2013-2014","CAR",14,768.29,384,37,90.36,91.25,-0.88,98.17,94.78,68.6,-3.39
"CAM.WARD","2014-2015","CAR",27,1591.23,661,49,92.59,91.22,1.36,98.65,94.34,78.29,9.01
"CAM.WARD","2015-2016","CAR",29,1722.67,743,71,90.44,91.24,-0.8,96.62,92.11,77.9,-5.92
"CAM.WARD","2016-2017","CAR",33,1953.1,922,77,91.65,90.84,0.81,98.44,91.88,79.91,7.45
"CAM.WARD","2017-2018","CAR",8,464.95,218,19,91.28,91.6,-0.31,96.77,92.68,76.74,-0.68
"CAREY.PRICE","2007-2008","MTL",20,1146.63,593,48,91.91,91.83,0.08,98.48,89.61,85.23,0.47
"CAREY.PRICE","2008-2009","MTL",24,1427.62,699,58,91.7,91.73,-0.02,97.08,93.75,72.9,-0.17
"CAREY.PRICE","2009-2010","MTL",20,1172.57,561,54,90.37,91.72,-1.35,98.09,92.28,63.75,-7.56
"CAREY.PRICE","2010-2011","MTL",38,2252.14,1145,78,93.19,91.47,1.71,97.82,95.09,80.27,19.63
"CAREY.PRICE","2011-2012","MTL",35,2136.06,998,88,91.18,91.66,-0.47,98.17,91.44,77.78,-4.72
"CAREY.PRICE","2012-2013","MTL",21,1230.2,549,54,90.16,91.52,-1.36,97.98,89.27,75.81,-7.47
"CAREY.PRICE","2013-2014","MTL",37,2163.6,1158,74,93.61,92.02,1.59,99.43,93.67,81.27,18.43
"CAREY.PRICE","2014-2015","MTL",37,2245.37,1095,73,93.33,91.6,1.74,98.94,94.68,80.49,19.02
"CAREY.PRICE","2015-2016","MTL",5,299.85,160,6,96.25,91.92,4.33,98.63,98.15,87.88,6.92
"CAREY.PRICE","2016-2017","MTL",37,2186.23,1067,76,92.88,92.02,0.85,97.19,92.17,84.81,9.11
"CAREY.PRICE","2017-2018","MTL",15,847.63,438,36,91.78,91.97,-0.19,97.52,91.33,79.07,-0.83
"CARTER.HUTTON","2013-2014","NSH",16,841.87,396,34,91.41,92.68,-1.27,98.25,91.5,75,-5.01
"CARTER.HUTTON","2014-2015","NSH",5,256.59,125,13,89.6,91.68,-2.08,97.78,89.66,72.73,-2.6
"CARTER.HUTTON","2015-2016","NSH",4,235.08,118,6,94.92,91.55,3.36,100,90.32,90.32,3.97
"CARTER.HUTTON","2016-2017","STL",13,648.62,288,31,89.24,92.12,-2.88,99.14,88.29,72.13,-8.3
"CARTER.HUTTON","2017-2018","STL",8,444.62,220,12,94.55,90.85,3.7,97.8,95,87.76,8.14
"CASEY.DESMITH","2017-2018","PIT",1,38.2,9,1,88.89,92.44,-3.56,100,100,50,-0.32
"CEDRICK.DESJARDINS","2010-2011","T.B",2,120.32,63,2,96.83,92.57,4.25,95,97.22,100,2.68
"CEDRICK.DESJARDINS","2012-2013","T.B",1,58.78,29,4,86.21,90.9,-4.69,92.86,85.71,75,-1.36
"CEDRICK.DESJARDINS","2013-2014","T.B",1,18.03,13,2,84.62,91.69,-7.08,100,100,0,-0.92
"CHAD.JOHNSON","2009-2010","NYR",1,40,20,3,85,86.05,-1.05,100,81.82,85.71,-0.21
"CHAD.JOHNSON","2012-2013","ARI",3,182.43,78,4,94.87,92.69,2.18,100,100,75,1.7
"CHAD.JOHNSON","2013-2014","BOS",9,513.7,214,12,94.39,92.2,2.2,98.91,92.41,88.37,4.7
"CHAD.JOHNSON","2014-2015","NYI",6,316.75,150,17,88.67,90.13,-1.46,98.04,92.98,71.43,-2.19
"CHAD.JOHNSON","2015-2016","BUF",22,1214.64,550,41,92.55,92.04,0.51,98.44,91.67,80.53,2.79
"CHAD.JOHNSON","2016-2017","CGY",19,1042.68,498,52,89.56,90.84,-1.28,97.89,89.25,77.05,-6.37
"CHAD.JOHNSON","2017-2018","BUF",5,239.75,141,19,86.52,90.5,-3.98,98.25,93.33,61.54,-5.61
"CHARLIE.LINDGREN","2017-2018","MTL",6,349.82,184,17,90.76,90.4,0.36,100,89.47,78,0.67
"CHRIS.DRIEDGER","2014-2015","OTT",1,22.86,10,0,100,92.3,7.7,100,100,100,0.77
"CHRIS.GIBSON","2015-2016","NYI",2,102.77,44,7,84.09,91.89,-7.8,92.31,86.96,62.5,-3.43
"CHRIS.MASON","2007-2008","NSH",24,1287.04,623,57,90.85,91.73,-0.87,97.93,91.67,73.4,-5.45
"CHRIS.MASON","2008-2009","STL",24,1386.12,598,54,90.97,91.96,-0.99,98.87,89.88,80,-5.9
