"","Player","Season","Season.Type","Position","Team","GP","TOI","Rel.CF60","Rel.CA60","Rel.CF%","Rel.CSh%","Rel.CSv%","Rel.FF60","Rel.FA60","Rel.FF%","Rel.FSh%","Rel.FSv%","Rel.SF60","Rel.SA60","Rel.SF%","Rel.Sh%","Rel.Sv%","Rel.GF60","Rel.GA60","Rel.GF%","Rel.xGF60","Rel.xGA60","Rel.xGF%","Rel.xFSh%","Rel.xFSv%","Rel.SCF60","Rel.SCA60","Rel.SCF%","Rel.ZSR"
"1","ADAM.CLENDENING","2015-2016","Regular","D","PIT",40,110.9,-8.58,-4.58,-1.33,3.42,1.26,-5.05,-1.46,-2,4.5,1.81,-3.96,0.58,-3.44,5.75,2.53,1.69,-0.75,35.71,-0.49,-0.1,-3.46,-0.43,0.06,-0.62,-2.24,7.36,11.76
"2","BEAU.BENNETT","2015-2016","Regular","R","PIT",69,325.36,1.31,-1.04,1.03,0.12,-1.64,0.19,2.16,-1.21,0.26,-1.83,-1.54,0.82,-1.9,0.75,-2.68,0.12,0.86,-8.81,-0.27,0.21,-4.96,-0.66,-0.2,-1.06,0.5,-4.99,0.07
"3","BEN.LOVEJOY","2015-2016","Regular","D","PIT",109,1009.38,-1.98,0.18,-0.93,0.33,-0.19,-0.18,0.46,-0.39,0.28,-0.21,0.07,0.67,-0.51,0.33,-0.21,0.11,0.11,-0.08,0.06,-0.11,1.84,0.17,0.33,0.99,-0.86,5.61,-13.44
"4","BRIAN.DUMOULIN","2015-2017","Regular","D","PIT",114,1838.98,-2.98,-3.57,0.4,-0.02,-1.31,-1.65,-1.52,0.03,-0.1,-1.62,-0.43,-0.5,0.1,-0.32,-2.01,-0.14,0.56,-7.82,-0.01,0.07,-0.82,0.21,-0.39,0.22,0.01,0.51,-5.64
"5","BRYAN.RUST","2015-2017","Regular","R","PIT",79,910.22,-4.91,-2.38,-0.9,-1.22,-1.18,-3.07,-1.72,-0.57,-1.7,-1.61,-3.68,-1.13,-1.75,-1.97,-2.1,-0.94,0.52,-14.89,-0.03,-0.22,2.22,0.39,0.32,0.58,-0.6,3.19,-10
"6","CARL.HAGELIN","2015-2017","Regular","L","PIT",121,1006.9,5.08,-2.1,3,0.76,-0.02,5.68,-0.06,3.01,0.75,0.17,5.14,0.94,2.78,0.79,0.46,0.73,-0.07,6.5,0.19,0.07,0.83,-0.37,-0.18,0.32,-0.4,1.94,9.42
"7","CHAD.RUHWEDEL","2016-2017","Regular","D","PIT",6,74.24,-2.77,4.55,-3.14,1.68,1.81,0.89,8.92,-4.6,1.64,2.97,0.72,8.59,-5.6,2.11,3.96,0.83,-0.88,15.18,-0.13,0.76,-6.95,-0.42,-0.23,0.26,4.57,-8.79,1.12
"8","CHRIS.KUNITZ","2015-2017","Regular","L","PIT",115,1510.94,8.25,-0.78,3.71,1.2,0.74,5.09,-1.04,3.41,1.74,0.95,3.7,-1.22,3.71,2.35,1.17,1.1,-0.43,15.26,0.16,0.05,0.84,-0.35,-0.28,0.01,0.11,-0.33,11.21
"9","CONOR.SHEARY","2015-2017","Regular","L","PIT",78,820.16,1.19,-4.23,2.48,0.24,-0.33,1.6,-1.5,1.79,0.23,-0.21,1.29,-1.54,2.19,0.28,-0.39,0.2,0,1.73,0.23,-0.06,2.44,0.26,-0.07,1.14,-0.32,3.54,10.77
"10","DANIEL.SPRONG","2015-2016","Regular","R","PIT",18,147.06,-10.05,0.7,-4.93,-1.25,1.7,-4.85,2.32,-4.2,-1.82,2.37,-6.1,-0.24,-4.83,-2.18,3.03,-0.91,-0.96,-4.19,-0.82,0.13,-10.58,-1.34,0,-2.33,1.21,-11.78,0.56
"11","DAVID.PERRON","2015-2016","Regular","L","PIT",113,548.7,1.45,3.35,-0.86,-0.2,-2.19,2.35,4.4,-1.26,-0.37,-2.68,3.24,3.48,-0.29,-0.73,-3.57,-0.07,1.37,-16.18,0.36,0.37,-0.4,0.51,-0.29,1.36,1.07,0.33,10.71
"12","DAVID.WARSOFSKY","2015-2017","Regular","D","PIT",26,230.87,10.8,-1.3,4.81,-2.57,-0.39,10.5,2.54,3.79,-3.55,-0.09,8.18,1.65,4.42,-5.09,-0.16,-1.3,0.16,-19.04,0.29,0.38,-1.6,-0.64,-0.58,1.42,3.52,-7.13,19.68
"13","DERRICK.POULIOT","2015-2017","Regular","D","PIT",29,383.95,7.26,-5.6,5.6,-1.91,1.1,4.54,-5.41,5.99,-2.51,1.33,1.77,-4.25,4.91,-2.99,1.72,-0.86,-0.79,1.35,0.4,-0.27,6.38,0.24,-0.11,1.88,-0.31,5.51,-7.05
"14","ERIC.FEHR","2015-2017","Regular","R","PIT",90,829.15,-17.4,3.05,-9.27,-0.66,-0.2,-11.55,-1.71,-5.76,-1.07,-0.85,-8.5,-1.44,-5.53,-1.46,-1.17,-1.04,0.23,-14.67,-0.78,-0.38,-2.97,-0.13,0.73,-2.88,-0.48,-6.19,-30.92
"15","EVGENI.MALKIN","2015-2017","Regular","C","PIT",98,1366.16,4.48,-2.64,3.07,0.65,-0.72,4.15,1.04,1.64,0.77,-0.58,3.19,1.86,0.82,1.01,-0.54,0.58,0.29,2.26,0.26,-0.01,2.35,0,0.17,0.21,-0.42,1.84,24.55
"16","IAN.COLE","2015-2017","Regular","D","PIT",111,1621.69,-1.88,2.11,-1.75,-0.28,-0.15,-0.22,0.74,-0.58,-0.52,-0.31,-1.64,-0.23,-1.04,-0.37,-0.6,-0.25,0.16,-4.41,-0.05,0.01,-0.53,-0.09,0.09,-0.29,0.1,-1.02,1.93
"17","JAKE.GUENTZEL","2016-2017","Regular","C","PIT",5,61.77,-4.62,-0.03,-1.74,2.91,-3.17,-7.58,5.98,-7.59,4.66,-3.21,-6.98,8.41,-11.71,6.6,-2.98,1.61,1.72,-4.44,0.21,0.82,-6.77,1.39,-1.17,-0.13,3.59,-11.45,25.18
"18","JUSTIN.SCHULTZ","2015-2017","Regular","D","PIT",104,829.66,-1.28,0.39,-0.7,1.77,0.65,0.13,0.76,-0.41,2.19,0.97,1.2,-0.31,1.11,2.59,1.09,1.02,-0.34,11.69,0.15,-0.1,2.18,0.3,0.36,0.81,-0.82,4.31,4
"19","KEVIN.PORTER","2015-2016","Regular","C","PIT",41,373.09,-14.79,-2.69,-5.43,-2.08,0.62,-12.02,-3.75,-4.8,-2.67,0.62,-10.57,-2.48,-6.55,-3.34,0.89,-1.6,-0.41,-18.43,-1.03,-0.4,-5.32,-0.73,0.52,-3.78,-1.44,-5.55,-17.77
"20","KRIS.LETANG","2015-2017","Regular","D","PIT",100,1854,6,-0.65,2.78,-1.24,-1.1,2.16,-0.54,1.52,-1.35,-1.5,1.68,-1.28,2.3,-1.81,-2.24,-0.49,0.57,-11.23,0.08,0.18,-1.3,-0.14,-0.53,-0.86,1.24,-5.97,3.63
"21","MATT.CULLEN","2015-2017","Regular","C","PIT",123,1244.84,-6.41,1.74,-3.56,-0.03,-0.39,-4.15,0.42,-2.63,-0.12,-0.65,-3.86,-0.34,-2.69,0.01,-1.02,-0.28,0.28,-6.26,-0.01,-0.17,1.81,0.6,0.49,0.69,-0.74,4.06,-22.15
"22","NICK.BONINO","2015-2017","Regular","C","PIT",104,1158.67,-2.79,2.62,-2.36,-0.11,0.44,-2.97,1.06,-2.35,-0.04,0.51,-1.6,0.94,-1.98,-0.2,0.71,-0.18,-0.15,0.04,-0.35,0.06,-3.79,-0.38,0.01,-1.35,0.03,-3.53,-10.47
"23","OLLI.MAATTA","2015-2017","Regular","D","PIT",106,1685.89,-1.21,2.93,-1.85,1.43,0.81,-2.37,1.77,-2.41,2.1,1.05,-1.33,1.01,-1.82,2.7,1.34,0.81,-0.33,11.46,-0.21,0,-1.88,-0.14,0.24,-0.85,-0.14,-1.63,2.26
"24","OSKAR.SUNDQVIST","2015-2016","Regular","C","PIT",18,175.37,-10.11,-0.77,-4.16,-2.71,1.56,-5.46,5.32,-6.45,-3.85,2.81,-1.99,1.95,-3.2,-5.55,3.44,-1.93,-0.87,-11.62,-0.85,-0.01,-8.65,-1.27,0.68,-2.69,-0.18,-7.51,3.32
"25","PASCAL.DUPUIS","2015-2016","Regular","L","PIT",18,213.59,-1.71,10.98,-5.21,2.47,-0.06,-2.9,3.52,-3.85,3.66,-0.47,-2.08,2.1,-3.44,4.91,-0.72,1.19,0.35,8.82,0.18,0.3,-0.92,0.94,-0.23,1.06,1.88,-2.12,-5.8
"26","PATRIC.HORNQVIST","2015-2017","Regular","R","PIT",117,1529.23,10.85,-2.77,5.66,0.17,0.08,6.93,-3.17,5.72,0.37,-0.04,6.07,-1.67,5.74,0.3,0.1,0.57,-0.14,7.01,0.74,-0.15,7.72,0.63,-0.08,3.02,-0.81,9.57,7.39
"27","PHIL.KESSEL","2015-2017","Regular","C","PIT",123,1669.34,1.22,1.68,-0.26,0.89,0.15,0.28,3.73,-2.13,1.26,0.5,0.54,2.62,-1.75,1.61,0.64,0.59,-0.02,5.64,-0.24,0.38,-6.12,-0.58,-0.4,-1.66,1.17,-7.93,17.6
"28","ROB.SCUDERI","2015-2016","Regular","D","PIT",63,350.44,-2.26,1.45,-1.67,1.17,0.08,-0.56,-1.39,0.45,1.43,-0.14,-2.48,-1.12,-1.21,2.37,-0.21,0.55,0,7.73,0.22,-0.21,4.4,0.63,0.29,-0.01,-0.96,2.89,4.94
"29","SCOTT.WILSON","2015-2017","Regular","C","PIT",62,610.37,-0.38,-0.78,0.2,-1.68,-0.65,0.13,-2.5,1.67,-2.28,-1.16,0.66,-2.46,2.55,-3.15,-1.67,-1.02,0.32,-14.54,0.19,-0.04,2.01,0.4,-0.28,0.39,0.62,-0.88,-13.18
"30","SERGEI.PLOTNIKOV","2015-2016","Regular","L","PIT",45,294.82,-1.06,-7.51,3.09,-0.6,-0.2,-1.1,-6.13,3.24,-0.77,-0.33,-2.24,-3.34,1.09,-0.86,-0.18,-0.37,-0.17,-4.29,-0.27,-0.56,3.92,-0.49,0.6,-1.49,-2.25,3.89,-5.77
"31","SIDNEY.CROSBY","2015-2017","Regular","C","PIT",115,1680.11,9.55,0.93,3.44,0.61,-0.49,5.96,-0.25,3.37,0.98,-0.79,4.54,-0.57,3.74,1.29,-1.15,0.81,0.3,3.6,0.47,0.25,1.27,0.2,-0.67,1.86,1.48,-0.16,5.44
"32","STEVE.OLEKSY","2016-2017","Regular","D","PIT",9,110.53,7.1,-15.02,9.84,1.27,-1.13,6.58,-11.34,10.65,1.53,-1.53,6.5,-8.26,11.17,1.66,-1.85,1.08,0,10,0.44,-1.48,18.77,-0.01,2.01,1.91,-6.44,23.3,2.98
"33","TOM.KUHNHACKL","2015-2017","Regular","R","PIT",66,657.59,-17.3,4.03,-9.51,0.42,0.38,-12.1,2.03,-8.39,0.41,0.42,-8.66,1.11,-7.71,0.44,0.47,-0.58,-0.06,-4.58,-0.73,-0.11,-5.17,0.16,0.57,-1.32,-0.05,-2.97,-30.36
"34","TOM.SESTITO","2015-2017","Regular","L","PIT",12,65.82,-31.25,-3.86,-17.08,2.9,2.58,-23.1,-3.65,-16.34,3.74,3.44,-19.17,-5.59,-16.54,6.31,4.18,-0.48,-1.53,18.1,-1.73,-0.69,-15.2,-1.11,1.26,-4.71,-1.53,-10.71,-1.65
"35","TREVOR.DALEY","2015-2017","Regular","D","PIT",118,1393.91,-2.11,4.69,-3.01,0.09,0.01,-1.75,3.27,-2.99,0.14,-0.01,-0.69,3.93,-3.74,0.03,0.32,-0.04,0.18,-2.46,-0.14,0.15,-2.79,-0.06,0.09,-0.19,0.65,-2.49,1.04
